 ;Devisscher - Leopoldsburg - BE / Vermogen / Gemiddelde waarden  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;
06:15;
06:30;
06:45;
07:00;
07:15;
07:30;
07:45;
08:00;
08:15;
08:30;"0,000"
08:45;"0,000"
09:00;"0,002"
09:15;"0,043"
09:30;"0,095"
09:45;"0,087"
10:00;"0,127"
10:15;"0,162"
10:30;"0,143"
10:45;"0,150"
11:00;"0,182"
11:15;"0,196"
11:30;"0,270"
11:45;"0,290"
12:00;"0,231"
12:15;"0,168"
12:30;"0,190"
12:45;"0,190"
13:00;"0,228"
13:15;"0,229"
13:30;"0,224"
13:45;"0,386"
14:00;"0,376"
14:15;"0,319"
14:30;"0,183"
14:45;"0,143"
15:00;"0,168"
15:15;"0,135"
15:30;"0,126"
15:45;"0,084"
16:00;"0,069"
16:15;"0,059"
16:30;"0,020"
16:45;"0,000"
17:00;"0,000"
17:15;"0,000"
17:30;"0,000"
17:45;
18:00;
18:15;
18:30;
18:45;
19:00;
19:15;
19:30;
19:45;
20:00;
20:15;
20:30;
20:45;
21:00;
21:15;
21:30;
21:45;
22:00;
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
